TradeSeq TradeDate DeliveryMonth SettlePrice
15 870122 8706 277.8
16 870123 8706 271.05
17 870126 8706 273.1
18 870127 8706 276.2
19 870128 8706 279.3
20 870129 8706 276.75
21 870130 8706 275.5
22 870202 8706 278.75
23 870203 8706 277.7
24 870204 8706 282.15
25 870205 8706 283.95
26 870206 8706 282.8
27 870209 8706 280.95
28 870210 8706 277.25
29 870211 8706 279
30 870212 8706 278.15
31 870213 8706 283.5
32 870217 8706 288.5
33 870218 8706 288.3
34 870219 8706 287.75
35 870220 8706 287.3
36 870223 8706 284.25
37 870224 8706 284
38 870225 8706 285.45
39 870226 8706 285.15
40 870227 8706 285.15
41 870302 8706 285.2
42 870303 8706 285.75
43 870304 8706 290.7
44 870305 8706 292.05
45 870306 8706 293.05
46 870309 8706 290.15
47 870310 8706 292.65
48 870311 8706 291.65
49 870312 8706 292.65
50 870313 8706 291.2
51 870316 8706 289.65
52 870317 8706 295.25
53 870318 8706 294.55
54 870319 8706 296
55 870320 8706 299.8
56 870323 8706 304.15
57 870324 8706 304.2
58 870325 8706 303.6
59 870326 8706 303.4
60 870327 8706 297.35
61 870330 8706 290.45
62 870331 8706 291.25
63 870401 8706 294.55
64 870402 8706 293.6
65 870403 8706 303.45
66 870406 8706 304.05
67 870407 8706 296.4
68 870408 8706 300.3
69 870409 8706 295.05
70 870410 8706 293.4
71 870413 8706 284.55
72 870414 8706 280
73 870415 8706 285.2
74 870416 8706 288.9
75 870420 8706 287.4
76 870421 8706 295
77 870422 8706 286.35
78 870423 8706 287.6
79 870424 8706 280.95
80 870427 8706 280.5
81 870428 8706 283.8
82 870429 8706 285.3
83 870430 8706 289.45
84 870501 8706 289.9
85 870504 8706 291.7
86 870505 8706 296.3
87 870506 8706 296.25
88 870507 8706 294.4
89 870508 8706 294.65
90 870511 8706 291.15
91 870512 8706 294.45
92 870513 8706 294.75
93 870514 8706 294.65
94 870515 8706 287.35
95 870518 8706 287.1
96 870519 8706 279.15
97 870520 8706 279.85
98 870521 8706 280.7
99 870522 8706 281.8
100 870526 8706 289.6
101 870527 8706 289.3
102 870528 8706 292.15
103 870529 8706 289.45
104 870601 8706 291
105 870602 8706 288.6
106 870603 8706 294.55
107 870604 8706 295.2
108 870605 8706 293.25
109 870608 8706 296.35
110 870609 8706 297.75
111 870610 8706 297.25
112 870611 8706 299.55
113 870612 8706 302
114 870615 8706 303.75
115 870616 8706 305.05
116 870617 8706 305.5
117 870618 8706 306.05
124 870629 8806 316.4
125 870630 8806 310.1
126 870701 8806 311.3
127 870702 8806 313.6
128 870706 8806 312.75
129 870707 8806 316.6
130 870708 8806 317.6
131 870709 8806 315.65
132 870710 8806 316.25
133 870713 8806 316.25
134 870714 8806 318.8
135 870715 8806 319.05
136 870716 8806 321
137 870717 8806 321.8
138 870720 8806 319.7
139 870721 8806 317.25
140 870722 8806 317.25
141 870723 8806 316.55
142 870724 8806 317.65
143 870727 8806 319.05
144 870728 8806 320.45
145 870729 8806 324.45
146 870730 8806 326.9
147 870731 8806 327.6
148 870803 8806 326.45
149 870804 8806 325
150 870805 8806 326.8
151 870806 8806 330.8
152 870807 8806 332.65
153 870810 8806 337.05
154 870811 8806 343
155 870812 8806 342.75
156 870813 8806 344.2
157 870814 8806 344.55
158 870817 8806 344.1
159 870818 8806 338.3
160 870819 8806 339.75
161 870820 8806 345
162 870821 8806 344.4
163 870824 8806 343.7
164 870825 8806 346.8
165 870826 8806 344.4
166 870827 8806 340.5
167 870828 8806 336
168 870831 8806 339.4
169 870901 8806 332
170 870902 8806 331.1
171 870903 8806 328.4
172 870904 8806 323.8
173 870908 8806 322.5
174 870909 8806 322.6
175 870910 8806 325.95
176 870911 8806 331
177 870914 8806 330.95
178 870915 8806 325.8
179 870916 8806 322.35
180 870917 8806 324
181 870918 8806 324.45
182 870921 8806 319.35
183 870922 8806 330.2
184 870923 8806 331.1
185 870924 8806 328.85
186 870925 8806 330.85
187 870928 8806 333.1
188 870929 8806 331.3
189 870930 8806 332.45
190 871001 8806 338.6
191 871002 8806 338.6
192 871005 8806 338
193 871006 8806 327.1
194 871007 8806 327.95
195 871008 8806 323.05
196 871009 8806 318.5
197 871012 8806 318.6
198 871013 8806 322.8
199 871014 8806 312.15
200 871015 8806 305.5
201 871016 8806 288.75
202 871019 8806 207.65
203 871020 8806 222
204 871021 8806 263
205 871022 8806 249
206 871023 8806 245.45
207 871026 8806 224.1
208 871027 8806 231.6
209 871028 8806 234
210 871029 8806 248.5
211 871030 8806 262.75
212 871102 8806 261.2
213 871103 8806 253.5
214 871104 8806 253.5
215 871105 8806 258.7
216 871106 8806 252.3
217 871109 8806 248.75
218 871110 8806 242.5
219 871111 8806 245.3
220 871112 8806 252.75
221 871113 8806 250.8
222 871116 8806 251.4
223 871117 8806 245.6
224 871118 8806 249.3
225 871119 8806 241.4
226 871120 8806 244
227 871123 8806 246.3
228 871124 8806 248.45
229 871125 8806 246.6
230 871127 8806 238.8
231 871130 8806 234.2
232 871201 8806 234.1
233 871202 8806 235.3
234 871203 8806 225.35
235 871204 8806 227.2
236 871207 8806 231.4
237 871208 8806 236.85
238 871209 8806 241.6
239 871210 8806 236.15
240 871211 8806 237.3
241 871214 8806 246.35
242 871215 8806 246.6
243 871216 8806 250.25
244 871217 8806 245.8
245 871218 8806 250
246 871221 8806 253.8
247 871222 8806 253.4
248 871223 8806 256.4
249 871224 8806 254.95
250 871228 8806 247.9
251 871229 8806 247.85
252 871230 8806 251.85
253 871231 8806 248.35
1 870102 8709 248.35
2 870105 8709 254.8
3 870106 8709 255.15
4 870107 8709 258.05
5 870108 8709 258.9
6 870109 8709 261.15
7 870112 8709 262.5
8 870113 8709 263.05
9 870114 8709 265.2
10 870115 8709 269
11 870116 8709 268.75
12 870119 8709 273.55
13 870120 8709 271.7
14 870121 8709 271.3
15 870122 8709 278.95
16 870123 8709 272.3
17 870126 8709 274.4
18 870127 8709 277.6
19 870128 8709 280.75
20 870129 8709 278.15
21 870130 8709 276.7
22 870202 8709 279.95
23 870203 8709 278.9
24 870204 8709 283.35
25 870205 8709 285.2
26 870206 8709 284.1
27 870209 8709 282.25
28 870210 8709 278.55
29 870211 8709 280.2
30 870212 8709 279.3
31 870213 8709 284.65
32 870217 8709 289.85
33 870218 8709 289.6
34 870219 8709 289.05
35 870220 8709 288.55
36 870223 8709 285.5
37 870224 8709 285
38 870225 8709 286.65
39 870226 8709 286.45
40 870227 8709 286.45
41 870302 8709 286.55
42 870303 8709 287.2
43 870304 8709 292.05
44 870305 8709 293.4
45 870306 8709 294.4
46 870309 8709 291.5
47 870310 8709 294.1
48 870311 8709 293.05
49 870312 8709 294.1
50 870313 8709 292.55
51 870316 8709 291
52 870317 8709 296.75
53 870318 8709 296
54 870319 8709 297.55
55 870320 8709 301.45
56 870323 8709 305.9
57 870324 8709 306
58 870325 8709 305.45
59 870326 8709 305.35
60 870327 8709 299.1
61 870330 8709 292.4
62 870331 8709 293.15
63 870401 8709 296.4
64 870402 8709 295.5
65 870403 8709 305.45
66 870406 8709 306
67 870407 8709 298.25
68 870408 8709 302.2
69 870409 8709 297.05
70 870410 8709 295.15
71 870413 8709 286.55
72 870414 8709 281.8
73 870415 8709 287
74 870416 8709 290.6
75 870420 8709 289.15
76 870421 8709 296.9
77 870422 8709 288.25
78 870423 8709 289.5
79 870424 8709 282.85
80 870427 8709 282.2
81 870428 8709 285.5
82 870429 8709 287.05
83 870430 8709 291.3
84 870501 8709 291.7
85 870504 8709 293.6
86 870505 8709 298.3
87 870506 8709 298.4
88 870507 8709 296.65
89 870508 8709 296.95
90 870511 8709 293.65
91 870512 8709 296.8
92 870513 8709 297.1
93 870514 8709 297.1
94 870515 8709 289.75
95 870518 8709 289.45
96 870519 8709 281.3
97 870520 8709 282
98 870521 8709 282.9
99 870522 8709 283.9
100 870526 8709 291.75
101 870527 8709 291.4
102 870528 8709 294.3
103 870529 8709 291.5
104 870601 8709 293
105 870602 8709 290.5
106 870603 8709 296.5
107 870604 8709 297.1
108 870605 8709 295.15
109 870608 8709 298.15
110 870609 8709 299.45
111 870610 8709 299
112 870611 8709 301.4
113 870612 8709 303.9
114 870615 8709 305.95
115 870616 8709 307.2
116 870617 8709 307.55
117 870618 8709 308.45
118 870619 8709 308.9
119 870622 8709 312.75
120 870623 8709 310.9
121 870624 8709 309.3
122 870625 8709 310.85
123 870626 8709 310.75
124 870629 8709 309.85
125 870630 8709 303.55
126 870701 8709 304.8
127 870702 8709 306.95
128 870706 8709 306.15
129 870707 8709 310
130 870708 8709 310.75
